# ID          Name                  Mass(GeV)      Width(GeV)      Degeneracy      B      S      C      b      I        Q      Decays
9000225       f2(1430)              1.43000        0.013000        5               0      0      0      0      0.0      0      4
-12112        Anti-N(1440)0         1.44000        0.350000        2              -1      0      0      0      0.5      0      7
-12212        Anti-N(1440)+         1.44000        0.350000        2              -1      0      0      0      0.5     -1      7
12112         N(1440)0              1.44000        0.350000        2               1      0      0      0      0.5      0      7
12212         N(1440)+              1.44000        0.350000        2               1      0      0      0      0.5      1      7
-100311       Anti-K(1460)0         1.44700        0.282000        1               0     -1      0      0      0.5      0      7
-100321       Anti-K(1460)+         1.44700        0.282000        1               0     -1      0      0      0.5     -1      7
100311        K(1460)0              1.44700        0.282000        1               0      1      0      0      0.5      0      7
100321        K(1460)+              1.44700        0.282000        1               0      1      0      0      0.5      1      7
-100213       rho(1450)-            1.46500        0.400000        3               0      0      0      0      1.0     -1      4
100113        rho(1450)0            1.46500        0.400000        3               0      0      0      0      1.0      0      5
100213        rho(1450)+            1.46500        0.400000        3               0      0      0      0      1.0      1      4
-10211        a0(1450)-             1.47400        0.265000        1               0      0      0      0      1.0     -1      4
10111         a0(1450)0             1.47400        0.265000        1               0      0      0      0      1.0      0      5
10211         a0(1450)+             1.47400        0.265000        1               0      0      0      0      1.0      1      4
100331        eta(1475)             1.47500        0.090000        1               0      0      0      0      0.0      0      6
-1214         Anti-N(1520)0         1.51500        0.110000        4              -1      0      0      0      0.5      0      17
-2124         Anti-N(1520)+         1.51500        0.110000        4              -1      0      0      0      0.5     -1      17
1214          N(1520)0              1.51500        0.110000        4               1      0      0      0      0.5      0      17
2124          N(1520)+              1.51500        0.110000        4               1      0      0      0      0.5      1      17
335           f2'(1525)             1.51740        0.086000        5               0      0      0      0      0.0      0      5
9000223       f1(1510)              1.51800        0.073000        3               0      0      0      0      0.0      0      5
-3124         Anti-Lambda(1520)     1.52300        0.015700        4              -1      1      0      0      0.0      0      8
3124          Lambda(1520)          1.52300        0.015700        4               1     -1      0      0      0.0      0      8
-22112        Anti-N(1535)0         1.53000        0.150000        2              -1      0      0      0      0.5      0      12
-22212        Anti-N(1535)+         1.53000        0.150000        2              -1      0      0      0      0.5     -1      12
22112         N(1535)0              1.53000        0.150000        2               1      0      0      0      0.5      0      12
22212         N(1535)+              1.53000        0.150000        2               1      0      0      0      0.5      1      12
-3314         Anti-Ksi(1530)-       1.53350        0.009500        4              -1      2      0      0      0.5      1      2
-3324         Anti-Ksi(1530)0       1.53350        0.009500        4              -1      2      0      0      0.5      0      2
3314          Ksi(1530)-            1.53350        0.009500        4               1     -2      0      0      0.5     -1      2
3324          Ksi(1530)0            1.53350        0.009500        4               1     -2      0      0      0.5      0      2
